DATAFLOW,freq,indic_bt,nace_r2,s_adj,unit,Country,Date,Num,OBS_FLAG
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2019-08,99.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2019-09,118.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2019-10,116.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2019-11,117.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2019-12,111.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-01,103.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-02,106.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-03,114,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-04,86,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-05,91.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-06,104.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-07,108.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-08,96,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-09,116.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-10,118.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-11,118.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2020-12,110.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2021-01,100.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,AT,2021-02,108.6,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2019-08,99.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2019-09,104,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2019-10,105.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2019-11,107.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2019-12,104,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-01,95.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-02,95.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-03,96.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-04,86.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-05,88.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-06,92.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-07,99.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-08,92.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-09,99.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-10,103.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-11,105.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2020-12,106.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2021-01,95.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BA,2021-02,101.5,
