Name,April 2020 on February 2020,March 2021 on April 2020,March 2021 on February 2021
Belgium,-15.7,15.3,-4
Bulgaria,-15.4,19.2,3.7
Czechia,-33.1,50.3,3.3
Denmark,-5.8,10.4,4.9
Germany,-29.6,33.8,0.8
Estonia,-16.7,12.1,-1.4
Ireland,6.4,29.1,-2
Greece,-7.8,15.8,2.2
Spain,-32.4,44.9,-0.1
France,-34.7,44,0.7
Croatia,-9.3,19.6,3.4
Italy,-42.4,71.7,-0.1
Cyprus,-38,:,:
Latvia,-9.5,13.9,0.4
Lithuania,-7.9,22.3,4.5
Luxembourg,-29.5,30.9,-4.4
Hungary,-38,68.2,0.3
Malta,-14,4.8,2.1
Netherlands,-7.5,7.7,2.9
Austria,-21.8,:,:
Poland,-26.6,46.3,2.9
Portugal,-28.9,35.8,-1
Romania,-36.8,56.8,0.8
Slovenia,-25.2,31.2,-0.9
Slovakia,-41.9,72.9,0.5
Finland,0.2,0.2,-2.1
Sweden,-16.2,23.1,2
Norway,0.8,1.4,1
Switzerland,-6.6,:,:
Montenegro,-33.5,:,:
North Macedonia,-35.2,45.8,5.9
Serbia,-18.8,27.4,-4.0
Turkey,-34.9,68.3,0.8
Bosnia and Herzegovina,-11.7,22.4,1.6
